Part;Value;Device;Package;Description
ADCH;8x1F-H8.5;PINHD-1X8;1X08;PIN HEADER
ADCL;8x1F-H8.5;PINHD-1X8;1X08;PIN HEADER
C1;330nF;CPOL-EUE3.5-10;E3,5-10;POLARIZED CAPACITOR, European symbol
C2;330nF;CPOL-EUE3.5-10;E3,5-10;POLARIZED CAPACITOR, European symbol
C3;47mF;CPOL-EUE2.5-6;E2,5-6;POLARIZED CAPACITOR, European symbol
C4;100nF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol
C5;100nF;C-EU075-032X103;C075-032X103;CAPACITOR, European symbol
C6;100nF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol
C7;33nF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C8;0,47uF;C-EU025-025X050;C025-025X050;CAPACITOR, European symbol
COMMUNICATION;8x1F-H8.5;PINHD-1X8;1X08;PIN HEADER
D1;1N4004;1N4004;DO41-10;DIODE
D2;3V9;ZENER-DIODEZD-7.5;ZDIO-7.5;Z-Diode
F1;200mA;FUSESH22,5A;SH22,5A;Fuse
H1;MOUNT-HOLE3.2;MOUNT-HOLE3.2;3,2;MOUNTING HOLE with drill center marker
H2;MOUNT-HOLE3.2;MOUNT-HOLE3.2;3,2;MOUNTING HOLE with drill center marker
H3;MOUNT-HOLE3.2;MOUNT-HOLE3.2;3,2;MOUNTING HOLE with drill center marker
H4;MOUNT-HOLE3.2;MOUNT-HOLE3.2;3,2;MOUNTING HOLE with drill center marker
IC1;7805TV;7805TV;TO220V;Positive VOLTAGE REGULATOR
IC2;74HC125D;74HC125D;SO14;Quad bus BUFFER, 3-state
IC3;DS1307;DS1307;DIL08;I2C-Bus CLOCK/CALENDAR
J1;DCJ0202;DCJ0202;DCJ0202;DC POWER JACK
J2;WS2812;MTA03-100;10X03MTA;AMP connector
JP1;RxTx;MTA03-100;10X03MTA;AMP connector
JP2;I2Cext;PINHD-1X4;1X04;PIN HEADER
JP3;Tachometr;MTA04-100;10X04MTA;AMP connector
JP4;Relay;MTA04-100;10X04MTA;AMP connector
JP5;Belt;MTA03-100;10X03MTA;AMP connector
JP6;Wather;MTA03-100;10X03MTA;AMP connector
JP7;RxTxext;PINHD-1X4;1X04;PIN HEADER
JP8;AdditionalADC1;MTA03-100;10X03MTA;AMP connector
JP9;DTH1;MTA03-100;10X03MTA;AMP connector
JP10;DTH2;MTA03-100;10X03MTA;AMP connector
JP11;AdditionalADC2;MTA03-100;10X03MTA;AMP connector
JP12;Piezzo;MTA03-100;10X03MTA;AMP connector
JP13;10x1F-H8.5;PINHD-1X10_ARD;1X10;PIN HEADER
JP14;Coil-Current;MTA03-100;10X03MTA;AMP connector
JP15;ECV-Current;MTA03-100;10X03MTA;AMP connector
JP16;Buzzer;PINHD-1X2;1X02;PIN HEADER
JP17;5V-3.3V;PINHD-1X3;1X03;PIN HEADER
JP18;SD card;PINHD-1X9;1X09;PIN HEADER
JP19;BATERY-3V;PINHD-1X2;1X02;PIN HEADER
JP20;Fun1;MTA04-100;10X04MTA;AMP connector
JP21;Fun2;MTA04-100;10X04MTA;AMP connector
LD1;Led1;DUOLED-RG-A;DUOLED-A-5MM;DUO LED
LD2;Led2;DUOLED-RG-A;DUOLED-A-5MM;DUO LED
LD3;Led3;DUOLED-RG-A;DUOLED-A-5MM;DUO LED
LD4;Led4;DUOLED-RG-A;DUOLED-A-5MM;DUO LED
LD5;Led5;DUOLED-RG-A;DUOLED-A-5MM;DUO LED
LED1;LED pomaranczowa;LED5MM;LED5MM;LED
PAD1;WIREPAD3,81/1,1;WIREPAD3,81/1,1;3,81/1,1;Wire PAD connect wire on PCB
PAD1(12V);WIREPAD3,81/1,1;WIREPAD3,81/1,1;3,81/1,1;Wire PAD connect wire on PCB
POWER;8x1F-H8.5;PINHD-1X8;1X08;PIN HEADER
PWML;8x1F-H8.5;PINHD-1X8;1X08;PIN HEADER
Q1;32.768KHz;CRYSTALTC26H;TC26H;CRYSTAL
Q2;BC550C;BC550C;TO92-EBC;NPN Transistor
R1;220;R-EU_0204/7;0204/7;RESISTOR, European symbol
R2;4,7K;R-EU_0207/12;0207/12;RESISTOR, European symbol
R3;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R4;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R5;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R6;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R7;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R8;470;R-EU_0207/10;0207/10;RESISTOR, European symbol
R9;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R10;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R11;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R12;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R13;1K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R14;1K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R15;4,7K;R-EU_0207/10;0207/10;RESISTOR, European symbol
R16;220;R-EU_0204/7;0204/7;RESISTOR, European symbol
R17;220;R-EU_0204/7;0204/7;RESISTOR, European symbol
R18;220;R-EU_0204/7;0204/7;RESISTOR, European symbol
R19;220;R-EU_0204/7;0204/7;RESISTOR, European symbol
R20;220;R-EU_0204/7;0204/7;RESISTOR, European symbol
R21;180;R-EU_0204/7;0204/7;RESISTOR, European symbol
R22;180;R-EU_0204/7;0204/7;RESISTOR, European symbol
R23;180;R-EU_0204/7;0204/7;RESISTOR, European symbol
R24;180;R-EU_0204/7;0204/7;RESISTOR, European symbol
R25;180;R-EU_0204/7;0204/7;RESISTOR, European symbol
R26;180;R-EU_0207/10;0207/10;RESISTOR, European symbol
R27;150;R-EU_0204/7;0204/7;RESISTOR, European symbol
R28;10k;R-EU_0207/10;0207/10;RESISTOR, European symbol
R29;10k;R-EU_0207/10;0207/10;RESISTOR, European symbol
R30;1k;R-EU_0207/10;0207/10;RESISTOR, European symbol
R31;1k;R-EU_0207/10;0207/10;RESISTOR, European symbol
R32;10k;R-EU_0207/10;0207/10;RESISTOR, European symbol
S1;On/off;M9040P;M9040P;TOGGLE SWITCH
S2;sty-77;sty-77;sty-77;MARQUARDT SWITCH 9077.0100
S3;Button1;10-XX;B3F-10XX;OMRON SWITCH
S4;Button2;10-XX;B3F-10XX;OMRON SWITCH
S5;Button3;10-XX;B3F-10XX;OMRON SWITCH
S6;Button4;10-XX;B3F-10XX;OMRON SWITCH
S7;Button5;10-XX;B3F-10XX;OMRON SWITCH
SG1;F/CM04P;F/CM04P;F/CM04P;BUZZER Source: Buerklin
SV1;Akcelerometr;ML10;ML10;HARTING
X1;DS18B20-1;AK300/3;AK300/3;CONNECTOR
X2;DS18B20-2;AK300/3;AK300/3;CONNECTOR
X3;DS18B20-3;AK300/3;AK300/3;CONNECTOR
X4;PressureSensor1;AK300/3;AK300/3;CONNECTOR
X5;DS18B20-4;AK300/3;AK300/3;CONNECTOR
X6;PressureSensor2;AK300/3;AK300/3;CONNECTOR
X7;DS18B20-5;AK300/3;AK300/3;CONNECTOR
X8;DS18B20-6;AK300/3;AK300/3;CONNECTOR
X9;DS18B20-7;AK300/3;AK300/3;CONNECTOR
X10;DS18B20-8;AK300/3;AK300/3;CONNECTOR
X11;Coil-Voltage;AK300/2;AK300/2;CONNECTOR
X12;ECV-Voltage;AK300/2;AK300/2;CONNECTOR
X13;Falownik;AK300/3;AK300/3;CONNECTOR
XIO;18x2F-H8.5;PINHD-2X18;2X18;PIN HEADER
